datetime,ghi,cams,lsasaf,pred_XGB_cams,pred_XGB_lsasaf
2018-08-31 18:00:00,126.61833333333334,270.3048,279.5,328.1618342010996,172.87194772649025
2018-08-31 18:15:00,117.91466666666666,211.1088,266.4,246.83880471854752,170.19186257987565
2018-08-31 18:30:00,119.54,158.0928,230.1,209.29417732005095,120.90864875559782
2018-08-31 18:45:00,109.64133333333332,94.742,211.2,112.03145484021354,102.95351294568229
2018-08-31 19:00:00,94.341,46.1012,181.40001,28.945974301526007,91.20201678199476
2018-08-31 19:15:00,85.57266666666666,37.23,156.1,76.69386247490644,63.084762133109564
2018-08-31 19:30:00,88.45933333333333,34.4288,133.90001,55.02155571434412,54.52558403465662
2018-08-31 19:45:00,90.595,31.5892,101.3,67.56362604313063,25.475369207193125
2018-08-31 20:00:00,82.45066666666666,28.4936,65.9,36.98167326137161,-5.935074785503389
2018-08-31 20:15:00,65.46966666666667,25.2444,38.4,55.01155826801113,1.5986859535580038
2018-08-31 20:30:00,51.571333333333335,22.058,19.5,50.70884190742558,-36.678700817183795
2018-08-31 20:45:00,45.40466666666667,18.5068,0.0,58.45155026936982,-47.85550234293487
2018-08-31 21:00:00,48.862,14.4416,0.0,43.66679279404357,-55.5030985633783
2018-09-01 11:15:00,20.862,13.6172,69.4,21.207391697723736,2.1904697006534235
2018-09-01 11:30:00,28.765,17.402,96.5,58.56584519909552,36.86587876843146
2018-09-01 11:45:00,26.928,20.9216,125.0,55.99905370732833,65.87132238408614
2018-09-01 12:00:00,27.00933333333333,26.9728,173.40001,62.63934350503661,121.82438683999754
2018-09-01 12:15:00,27.701666666666664,40.9256,198.1,60.19388848097515,142.8237102583189
2018-09-01 12:30:00,35.866,59.3972,218.8,68.91073243303254,180.0159265248294
2018-09-01 12:45:00,34.80333333333333,81.2436,236.2,97.70481682855183,200.13723565179401
2018-09-01 13:00:00,41.393,103.3368,249.6,97.58641598137899,272.9156701317696
2018-09-01 13:15:00,41.28233333333333,124.2908,261.9,133.8290592394152,183.6222721300402
2018-09-01 13:30:00,51.817,123.0436,274.80002,146.19272015965316,221.1244218198094
2018-09-01 13:45:00,53.09766666666667,142.1796,252.8,194.19065178091125,161.44947136098938
2018-09-01 14:00:00,63.53866666666667,195.8632,238.40001,233.51322970252545,125.74055514197858
2018-09-01 14:15:00,66.63966666666667,244.488,278.2,269.8558653440964,174.04467759995578
2018-09-01 14:30:00,70.37100000000001,280.5984,309.4,378.9248357278424,205.86965994659238
2018-09-01 14:45:00,70.85166666666666,309.6108,317.30002,341.0909566930553,160.44743252313344
2018-09-01 15:00:00,89.27766666666666,318.258,325.1,352.37586412043504,189.63157090754441
2018-09-01 15:15:00,110.26433333333333,343.2884,331.4,366.3322072126672,224.3432240583703
2018-09-01 15:30:00,95.23366666666668,356.0208,336.7,381.1201505034079,216.19299596239227
2018-09-01 15:45:00,139.38066666666666,369.736,339.6,391.3775445197772,201.4946404670428
2018-09-01 16:00:00,151.44366666666667,386.7528,342.6,414.61750499288974,211.33286754171786
2018-09-01 16:15:00,150.43533333333335,401.1236,343.4,411.74302497577037,212.38389411639537
2018-09-01 16:30:00,164.143,406.0632,333.4,427.99842167963084,176.61487675775584
2018-09-01 16:45:00,174.973,374.7884,338.9,403.91632234727274,221.41909944688211
2018-09-01 17:00:00,177.882,364.186,330.5,391.1781558474148,201.8869876345242
2018-09-01 17:15:00,176.88,336.0372,313.6,356.38126012593443,184.6601602724188
2018-09-01 17:30:00,157.29466666666667,309.7784,300.80002,334.7624273859834,156.24182802074904
2018-09-01 17:45:00,161.176,269.9748,269.7,314.15367332806375,137.15303245892312
2018-09-01 18:00:00,120.89,224.3828,251.3,310.7601200353672,121.40034830685158
2018-09-01 18:15:00,69.084,223.9232,240.8,244.91072669426023,114.42619910636961
2018-09-01 18:30:00,67.52566666666667,255.0776,255.8,266.6373789327886,147.2051584738042
2018-09-01 18:45:00,85.88799999999999,247.2232,272.2,263.0957065718284,157.67645608354712
2018-09-01 19:00:00,106.515,233.4656,279.1,242.99037558449197,204.81615073097635
2018-09-01 19:15:00,108.65,199.4412,256.2,192.1046897935429,223.80839462752726
2018-09-01 19:30:00,86.38666666666667,101.2688,264.9,94.60559142721712,223.6327368129593
2018-09-01 19:45:00,72.40866666666666,38.6216,272.5,52.421128484171106,223.17257806913204
2018-09-01 20:00:00,69.703,32.9924,188.1,41.83513008736287,150.318070761191
2018-09-01 20:15:00,62.94533333333334,29.5696,159.0,57.072771386313605,113.74475319783704
2018-09-01 20:30:00,43.144,25.9668,92.1,52.59522801471462,60.24828892780056
2018-09-01 20:45:00,50.43566666666666,21.7296,52.8,52.40011771972732,0.6075914746101319
2018-09-01 21:00:00,62.617333333333335,17.3192,11.1,45.17119667354956,-43.03014304813013
2018-09-02 11:15:00,170.15200000000002,132.16,147.5,94.4962191732196,97.53046180322448
2018-09-02 11:30:00,226.5546666666667,223.1704,206.7,188.62592017815624,150.85626876519237
2018-09-02 11:45:00,282.22266666666667,286.802,266.9,248.10947240890485,215.3581611067198
2018-09-02 12:00:00,337.5946666666667,330.4708,313.1,296.63518535525316,269.7865534964275
2018-09-02 12:15:00,392.12,342.586,371.9,316.16692854381944,315.2740395209923
2018-09-02 12:30:00,449.6883333333333,399.9912,429.5,370.99980789038193,373.51153426977646
2018-09-02 12:45:00,504.9283333333333,475.0168,485.2,426.45517714853975,435.54494555826875
2018-09-02 13:00:00,557.9,575.7692,538.5,533.0324152558264,486.7039898484167
2018-09-02 13:15:00,607.4420000000001,629.1084,589.2,581.7201885408749,532.5007528490414
2018-09-02 13:30:00,653.9586666666668,677.0392,637.2,627.584877636152,576.538168575483
