,datetime,ghi,SZA,TOA,cams,lsasaf,era,merra
20081,2021-04-16 17:00:00,606.9166666666666,27.32582440381072,1199.103801660352,708.2369,891.25001,531.62665,696.5
20082,2021-04-16 18:00:00,525.6,42.06373355293994,1002.0309359437126,606.4261,738.65,473.2622,506.5
20083,2021-04-16 19:00:00,226.03333333333333,56.8403152130286,738.2612400252862,362.385,399.87501,335.32443,299.5
20084,2021-04-16 20:00:00,240.28333333333333,71.61194887954908,425.77018278188183,183.1303,219.3750025,148.83556,148.875
20098,2021-04-17 10:00:00,134.36666666666667,76.85535967472778,306.76975676928083,139.04410000000001,150.1250025,46.364445,158.3125
20099,2021-04-17 11:00:00,340.46666666666664,62.10651309361873,631.088532026256,385.44169999999997,402.2,139.66222,392.625
20100,2021-04-17 12:00:00,423.85,47.34464302393489,914.0454448363231,401.21410000000003,526.7,80.90667,623.0
20101,2021-04-17 13:00:00,573.4333333333333,32.60685448197847,1136.3574491998836,600.1801,729.6,307.30667,733.25
20102,2021-04-17 14:00:00,707.7,18.010159345326304,1282.874349407519,708.5096,920.47501,407.2,782.75
20103,2021-04-17 15:00:00,818.2166666666667,5.10950164344904,1343.6112608407047,818.8743,1041.25,400.92444,889.25
20104,2021-04-17 16:00:00,804.1,12.994057968387693,1314.4290633577612,833.2876,1023.125,415.71555,892.0
20105,2021-04-17 17:00:00,821.2666666666667,27.42964064440775,1197.3164754912893,879.8118,917.6,390.4178,802.25
20106,2021-04-17 18:00:00,585.55,42.141153877541626,1000.2545265666871,705.4702,738.875,246.95111,650.5
20107,2021-04-17 19:00:00,413.06666666666666,56.900172588700194,736.6726627428978,479.6839,506.55001,145.42223,450.25
20108,2021-04-17 20:00:00,215.55,71.65675130061769,424.5335524498868,217.2862,211.85,116.40889,222.3125
20122,2021-04-18 10:00:00,138.81666666666666,76.77261616503158,308.49647803368396,115.1283,154.77500125,45.155556,161.9375
20123,2021-04-18 11:00:00,324.96666666666664,62.038929957241834,632.145995788637,277.6556,367.175005,156.67555,397.25
20124,2021-04-18 12:00:00,504.35,47.29406496285202,914.4168773328482,521.1606,585.92501,417.12,633.75
20125,2021-04-18 13:00:00,747.2666666666667,32.57992536069413,1136.0728285637672,830.7882,864.2750100000001,482.68445,820.5
20126,2021-04-18 14:00:00,896.6,18.03204423554446,1282.0083627087856,962.984,996.00001,613.9022,933.75
20127,2021-04-18 15:00:00,969.4833333333332,5.3850209998629746,1342.2782142857934,1017.4344,1045.625,301.65332,908.0
20128,2021-04-18 16:00:00,940.8166666666668,13.168661673732966,1312.775092510457,987.1253,1008.90001,626.3111,840.75
